C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.22CEST00:02:58

 IdentList
----------

# ;typed ident;            identifier             ;  radvel   ;  redshift  ;    cz     ;#mes
--;-----------;-----------------------------------;-----------;------------;-----------;----
1 ;M31        ;M 31                               ;-300.0     ;-0.001000   ;-299.85    ;   8
2 ;M32        ;M 32                               ;-199.0     ;-0.000664   ;-198.93    ;   5
3 ;M33        ;M 33                               ;-179.2     ;-0.000598   ;-179.15    ;   7
4 ;M49        ;M 49                               ;949        ;0.00317     ;950.3      ;   6
5 ;M51        ;M 51                               ;465        ;0.00155     ;465.0      ;   7
6 ;M58        ;M 58                               ;1517       ;0.005073    ;1520.86    ;   6
7 ;M59        ;M 59                               ;431        ;0.001438    ;431.10     ;   6
8 ;M60        ;M 60                               ;1015       ;0.00339     ;1016.3     ;   6
9 ;M61        ;M 61                               ;1566       ;0.005237    ;1570.11    ;   6
10;M63        ;M 63                               ;503        ;0.001678    ;503.05     ;   7
11;M64        ;M 64                               ;408        ;0.001362    ;408.28     ;   4
12;M65        ;M 65                               ;803        ;0.002682    ;804.08     ;   4
13;M66        ;M 66                               ;716        ;0.002391    ;716.86     ;   5
================================================================================

<hr><p>
