# ;typed ident;            identifier             ;  radvel   ;  redshift  ;    cz     ;#Dist; distance Q unit;  err-        err+     ; method ;     reference     ;#Velo;typ;    Value    R   m.e.  ;A (Nmes);na,Q,dom ,   res    D; Obs.date ; Rem.  ;Or;     Reference     
--;-----------;-----------------------------------;-----------;------------;-----------;-----;----------------;-----------------------;--------;-------------------;-----;---;-----------------------;--------;---------------------;----------;-------;--;-------------------
1 ;M31        ;M 31                               ;-300.0     ;-0.001000   ;-299.85    ;    1;    0.79    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ; -290                  ;  (    );s ,D,    ,           ;          ;       ;  ;2016AJ....152...50T
2 ;M32        ;M 32                               ;-199.0     ;-0.000664   ;-198.93    ;    1;    0.79    Mpc ;                       ;redshift;2018MNRAS.479.4136K;    1;v  ; -196                  ;  (    );s ,D,    ,           ;          ;       ;  ;2016AJ....152...50T
3 ;M33        ;M 33                               ;-179.2     ;-0.000598   ;-179.15    ;    1;    0.84    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ; -182                  ;  (    );se, ,Rad ,           ;          ;       ;  ;2018ApJ...861...49H
4 ;M49        ;M 49                               ;949        ;0.00317     ;950.3      ;    1;   16.5959  Mpc ;                       ;redshift;2019A&A...631A..38L;    1;v  ;  979                  ;  (    );s ,D,    ,           ;          ;       ;  ;2016AJ....152...50T
5 ;M51        ;M 51                               ;465        ;0.00155     ;465.0      ;    1;    8.00    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ;  461                  ;  (    );s , ,Opt ,           ;          ;       ;  ;2015AJ....149..171T
6 ;M58        ;M 58                               ;1517       ;0.005073    ;1520.86    ;    1;   16.500   Mpc ;  +0.600      +0.600   ;Mem     ;2010ApJS..190..233M;    1;v  ; 1517                  ;  (    );se, ,Rad ,           ;          ;       ;  ;2018ApJ...861...49H
7 ;M59        ;M 59                               ;431        ;0.001438    ;431.10     ;    1;   15.35    Mpc ;                       ;        ;2016AJ....152...50T;    1;v  ;  438                  ;  (    );s ,D,    ,           ;          ;       ;  ;2016AJ....152...50T
8 ;M60        ;M 60                               ;1015       ;0.00339     ;1016.3     ;    1;   17.387   Mpc ;                       ;        ;2019MNRAS.490..718B;    1;v  ; 1108                  ;  (    );s ,D,    ,           ;          ;       ;  ;2016AJ....152...50T
9 ;M61        ;M 61                               ;1566       ;0.005237    ;1570.11    ;    1;   16.5     Mpc ;                       ;redshift;2011MNRAS.413..813C;    1;v  ; 1566                  ;  (    );se, ,Rad ,           ;          ;       ;  ;2018ApJ...861...49H
10;M63        ;M 63                               ;503        ;0.001678    ;503.05     ;    1;    7.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ;  500                  ;  (    );s ,D,    ,           ;          ;       ;  ;2016AJ....152...50T
11;M64        ;M 64                               ;408        ;0.001362    ;408.28     ;    1;    7.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ;  408                  ;  (    );se, ,Rad ,           ;          ;       ;  ;2018ApJ...861...49H
12;M65        ;M 65                               ;803        ;0.002682    ;804.08     ;    1;    8.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ;  803                  ;  (    );se, ,Rad ,           ;          ;       ;  ;2018ApJ...861...49H
13;M66        ;M 66                               ;716        ;0.002391    ;716.86     ;    1;   10.05    Mpc ;                       ;T-F     ;2011ApJS..192....6L;    1;v  ;  716                  ;  (    );se, ,Rad ,           ;          ;       ;  ;2018ApJ...861...49H
================================================================================

<hr><p>
