C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:48:49

maintype = G & redshift >0 & Distance.distance <  5 & Distance.unit = Mpc
-------------------------------------------------------------------------

Number of objects : 122

 # ;            identifier             ;typ;  radvel   ;  redshift  ;    cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
---;-----------------------------------;---;-----------;------------;-----------;-----;----------------;-----------------------;--------;-------------------
1  ;LEDA 2807102                       ;G  ;39         ;0.000130    ;39.00      ;    1;    4.27    Mpc ;                       ;redshift;2018MNRAS.479.4136K
2  ;LEDA 168300                        ;G  ;75         ;0.000250    ;75.01      ;    1;    7.24    Mpc ;                       ;redshift;2018MNRAS.479.4136K
3  ;LEDA 2807107                       ;G  ;70         ;0.000234    ;70.01      ;    1;    3.48    Mpc ;                       ;mem     ;2017AJ....153....6K
4  ;LEDA 166068                        ;G  ;190        ;0.000634    ;190.06     ;    1;    3.48    Mpc ;                       ;mem     ;2017AJ....153....6K
5  ;LEDA 101304                        ;G  ;94         ;0.000314    ;94.01      ;    1;    3.48    Mpc ;                       ;mem     ;2017AJ....153....6K
6  ;NAME Cas 1                         ;G  ;35         ;0.000117    ;35.00      ;    1;    1.82    Mpc ;                       ;T-RGB   ;2008ApJ...676..184T
7  ;UGCA 86                            ;G  ;67.0       ;0.000224    ;67.01      ;    1;    2.96    Mpc ;                       ;T-F     ;2011ApJS..192....6L
8  ;NGC 1343                           ;G  ;2211       ;0.007402    ;2219.21    ;    1;    4.2     Mpc ;  -0.7        +0.8     ;T-F     ;2008ApJ...676..184T
9  ;NAME Cam B                         ;G  ;77         ;0.000257    ;77.01      ;    1;    3.50    Mpc ;                       ;redshift;2018MNRAS.479.4136K
10 ;LEDA 95594                         ;G  ;110        ;0.000367    ;110.02     ;    1;    4.61    Mpc ;                       ;T-F     ;2011ApJS..192....6L
11 ;NGC 2363                           ;G  ;70         ;0.000233    ;69.85      ;    1;    4.3     Mpc ;                       ;        ;2000ApJ...529..786M
12 ;UGC 8245                           ;G  ;70         ;0.00023     ;70.0       ;    1;    3.60    Mpc ;                       ;T-F     ;2011ApJS..192....6L
13 ;UGCA 133                           ;G  ;213        ;0.000711    ;213.08     ;    1;    3.10    Mpc ;                       ;T-F     ;2011ApJS..192....6L
