C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:01

maintype = G & redshift >0 & Distance.distance <  40 & Distance.distance  >= 30 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 664

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
---;-----------------------------------;---;------------;------------;------------;-----;----------------;-----------------------;--------;-------------------
1  ;IC 65                              ;G  ;2619        ;0.008775    ;2630.54     ;    1;   29.65    Mpc ;  -2.40       +2.40    ;T-F     ;2020ApJ...902..145K
2  ;UGC 608                            ;G  ;2755        ;0.009232    ;2767.78     ;    1;   45.29    Mpc ;  -3.26       +3.26    ;T-F     ;2020ApJ...902..145K
3  ;UGC 622                            ;G  ;2717        ;0.009104    ;2729.42     ;    1;   42.07    Mpc ;  -6.82       +6.82    ;T-F     ;2020ApJ...902..145K
4  ;UGC 2459                           ;G  ;2469        ;0.008270    ;2479.25     ;    1;   33.88    Mpc ;  -1.98       +1.98    ;T-F     ;2020ApJ...902..145K
5  ;UGC 2409                           ;G  ;3882        ;0.013034    ;3907.46     ;    1;   30.90    Mpc ;  -2.36       +2.36    ;T-F     ;2020ApJ...902..145K
6  ;MCG+09-06-001                      ;G  ;3351        ;0.0112      ;3370        ;    1;   37.15    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
7  ;UGC 2908                           ;G  ;4594        ;0.015443    ;4629.74     ;    1;   35.97    Mpc ;  -6.31       +6.31    ;T-F     ;2020ApJ...902..145K
8  ;MCG+09-34-001                      ;G  ;2843        ;0.0095      ;2857        ;    1;   45.08    Mpc ;  -4.46       +4.46    ;T-F     ;2020ApJ...902..145K
9  ;UGC 11422                          ;G  ;4655        ;0.015650    ;4691.71     ;    1;   58.08    Mpc ;  -6.27       +6.27    ;T-F     ;2020ApJ...902..145K
10 ;UGC 11484                          ;G  ;1303        ;0.004356    ;1305.84     ;    1;   37.50    Mpc ;  -6.58       +6.58    ;T-F     ;2020ApJ...902..145K
11 ;UGC 11613                          ;G  ;2670        ;0.008946    ;2682.00     ;    1;   36.48    Mpc ;  -3.78       +3.78    ;T-F     ;2020ApJ...902..145K
12 ;NGC 6798                           ;G  ;2439        ;0.008169    ;2449.00     ;    1;   37.343   Mpc ;                       ;redshift;2019A&A...631A..38L
13 ;2MFGC 14972                        ;G  ;3750        ;0.012588    ;3773.75     ;    1;   35.97    Mpc ;  -4.21       +4.21    ;T-F     ;2020ApJ...902..145K
14 ;UGC 11453                          ;G  ;3850        ;0.012926    ;3875.04     ;    1;   42.66    Mpc ;  -5.57       +5.57    ;T-F     ;2020ApJ...902..145K
15 ;UGC 11648                          ;G  ;3364        ;0.011285    ;3383.09     ;    1;   38.37    Mpc ;  -3.28       +3.28    ;T-F     ;2020ApJ...902..145K
16 ;UGC 11779                          ;G  ;2404        ;0.008051    ;2413.72     ;    1;   37.84    Mpc ;  -4.77       +4.77    ;T-F     ;2020ApJ...902..145K
17 ;UGC 1378                           ;G  ;2933        ;0.009832    ;2947.49     ;    1;   39.45    Mpc ;  -4.44       +4.44    ;T-F     ;2020ApJ...902..145K
18 ;NGC 6703                           ;G  ;2345        ;0.007852    ;2353.97     ;    1;   26.4241  Mpc ;                       ;redshift;2019A&A...631A..38L
19 ;UGC 11435                          ;G  ;3721        ;0.012489    ;3744.00     ;    1;   36.98    Mpc ;                       ;        ;2016AJ....152...50T
20 ;NGC 6869                           ;G  ;2720        ;0.009113    ;2732.01     ;    1;   32.66    Mpc ;                       ;        ;2016AJ....152...50T
21 ;NGC 6911                           ;G  ;2485        ;0.008324    ;2495.39     ;    1;   40.36    Mpc ;  -5.63       +5.63    ;T-F     ;2020ApJ...902..145K
22 ;LEDA 166755                        ;G  ;2453        ;0.008216    ;2463.12     ;    1;   44.26    Mpc ;  -6.57       +6.57    ;T-F     ;2020ApJ...902..145K
23 ;UGC 12504                          ;G  ;2438        ;0.008166    ;2447.99     ;    1;   39.81    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
24 ;UGC 11329                          ;G  ;2359        ;0.007900    ;2368.35     ;    1;   39.99    Mpc ;  -5.58       +5.58    ;T-F     ;2020ApJ...902..145K
25 ;NGC 6757                           ;G  ;2308        ;0.0077      ;2317        ;    1; 1150.483   pc  ; -27.6635    +27.6635  ;paral   ;2020yCat.1350....0G
26 ;NGC 6750                           ;G  ;3696        ;0.012405    ;3719.07     ;    1;   41.50    Mpc ;  -6.54       +6.54    ;T-F     ;2020ApJ...902..145K
27 ;NGC 6796                           ;G  ;2191        ;0.007335    ;2199.07     ;    1;   35.81    Mpc ;  -2.42       +2.42    ;T-F     ;2020ApJ...902..145K
28 ;UGC 12141                          ;G  ;2090        ;0.006996    ;2097.34     ;    1;   37.15    Mpc ;  -3.51       +3.51    ;T-F     ;2020ApJ...902..145K
29 ;UGC 2411                           ;G  ;2527        ;0.0085      ;2538        ;    1;   32.21    Mpc ;  -1.88       +1.88    ;T-F     ;2020ApJ...902..145K
30 ;UGC 2848                           ;G  ;4301        ;0.014451    ;4332.30     ;    1;   35.81    Mpc ;  -6.61       +6.61    ;T-F     ;2020ApJ...902..145K
31 ;UGC 3030                           ;G  ;3756        ;0.012608    ;3779.83     ;    1;   37.84    Mpc ;  -6.47       +6.47    ;T-F     ;2020ApJ...902..145K
32 ;2MASX J05035410+5519138            ;G  ;4378        ;0.014712    ;4410.44     ;    1;   57.02    Mpc ;  -8.72       +8.72    ;T-F     ;2020ApJ...902..145K
33 ;UGC 12221                          ;G  ;2050        ;0.006861    ;2056.88     ;    1;   31.48    Mpc ;                       ;        ;2016AJ....152...50T
34 ;UGC 2519                           ;G  ;2344        ;0.007850    ;2353.24     ;    1;   28.97    Mpc ;  -3.78       +3.78    ;T-F     ;2020ApJ...902..145K
35 ;UGC 3048                           ;G  ;3050        ;0.010226    ;3065.67     ;    1;   46.99    Mpc ;  -9.73       +9.73    ;T-F     ;2020ApJ...902..145K
36 ;UGC 2896                           ;G  ;2226        ;0.007453    ;2234.33     ;    1;   37.84    Mpc ;  -4.26       +4.26    ;T-F     ;2020ApJ...902..145K
37 ;UGC 3147                           ;G  ;2884        ;0.009667    ;2898.01     ;    1;   35.81    Mpc ;  -3.22       +3.22    ;T-F     ;2020ApJ...902..145K
38 ;UGC 11295                          ;G  ;2366        ;0.007924    ;2375.41     ;    1;   34.67    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
39 ;UGC 3276                           ;G  ;2503        ;0.008384    ;2513.54     ;    1;   38.19    Mpc ;  -2.92       +2.92    ;T-F     ;2020ApJ...902..145K
40 ;UGC 3354                           ;G  ;3088        ;0.010354    ;3104.07     ;    1;   37.84    Mpc ;  -2.38       +2.38    ;T-F     ;2020ApJ...902..145K
41 ;UGC 10892                          ;G  ;1932        ;0.006465    ;1938.27     ;    1;   39.99    Mpc ;  -8.82       +8.82    ;T-F     ;2020ApJ...902..145K
42 ;UGC 10887                          ;G  ;1838        ;0.006150    ;1843.67     ;    1;   30.90    Mpc ;  -3.34       +3.34    ;T-F     ;2020ApJ...902..145K
43 ;UGC 4078                           ;G  ;1862        ;0.006230    ;1867.82     ;    1;   29.92    Mpc ;  -4.44       +4.44    ;T-F     ;2020ApJ...902..145K
44 ;UGC 3540                           ;G  ;1943        ;0.006502    ;1949.34     ;    1;   29.38    Mpc ;  -6.21       +6.21    ;T-F     ;2020ApJ...902..145K
