C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:59

maintype = G & redshift >0 & Distance.distance <  60 & Distance.distance  >= 50 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 801

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
---;-----------------------------------;---;------------;------------;------------;-----;----------------;-----------------------;--------;-------------------
1  ;2MFGC 16642                        ;G  ;5335        ;0.017957    ;5383.33     ;    1;   58.08    Mpc ;  -7.32       +7.32    ;T-F     ;2020ApJ...902..145K
2  ;2MASX J23335077+4510281            ;G  ;4809        ;0.016172    ;4848.20     ;    1;   58.34    Mpc ;  -8.66       +8.66    ;T-F     ;2020ApJ...902..145K
3  ;UGC 12742                          ;G  ;5555        ;0.018704    ;5607.43     ;    1;   59.98    Mpc ;  -8.64       +8.64    ;T-F     ;2020ApJ...902..145K
4  ;UGC 826                            ;G  ;5997        ;0.020208    ;6058.20     ;    1;   54.45    Mpc ; -10.78      +10.78    ;T-F     ;2020ApJ...902..145K
5  ;UGC 1656                           ;G  ;4336        ;0.014570    ;4367.98     ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
6  ;UGC 2550                           ;G  ;4050        ;0.013602    ;4077.73     ;    1;   51.05    Mpc ;  -6.66       +6.66    ;T-F     ;2020ApJ...902..145K
7  ;NGC 812                            ;G  ;5161        ;0.017366    ;5206.20     ;    1;   52.48    Mpc ;  -4.25       +4.25    ;T-F     ;2020ApJ...902..145K
8  ;UGC 1602                           ;G  ;5502        ;0.018524    ;5553.43     ;    1;   56.75    Mpc ;  -9.71       +9.71    ;T-F     ;2020ApJ...902..145K
9  ;UGC 2215                           ;G  ;6560        ;0.022127    ;6633.37     ;    1;   52.00    Mpc ;  -5.62       +5.62    ;T-F     ;2020ApJ...902..145K
10 ;IC 1799                            ;G  ;4930        ;0.016582    ;4971.21     ;    1;   55.72    Mpc ;  -3.26       +3.26    ;T-F     ;2020ApJ...902..145K
11 ;UGC 1867                           ;G  ;5193        ;0.017475    ;5238.77     ;    1;   57.02    Mpc ;  -6.41       +6.41    ;T-F     ;2020ApJ...902..145K
12 ;UGC 2234                           ;G  ;5606        ;0.018878    ;5659.41     ;    1;   59.70    Mpc ;  -7.52       +7.52    ;T-F     ;2020ApJ...902..145K
13 ;UGC 2610                           ;G  ;5087        ;0.017115    ;5130.90     ;    1;   60.53    Mpc ;  -6.54       +6.54    ;T-F     ;2020ApJ...902..145K
14 ;UGC 2511                           ;G  ;3860        ;0.012960    ;3885.17     ;    1;   55.21    Mpc ;  -5.96       +5.96    ;T-F     ;2020ApJ...902..145K
15 ;UGC 2878                           ;G  ;5398        ;0.018171    ;5447.48     ;    1;   68.87    Mpc ;  -8.37       +8.37    ;T-F     ;2020ApJ...902..145K
16 ;UGC 11473                          ;G  ;4648        ;0.015626    ;4684.60     ;    1;   56.75    Mpc ;  -7.15       +7.15    ;T-F     ;2020ApJ...902..145K
17 ;MCG+08-07-017                      ;G  ;4861        ;0.016348    ;4901.06     ;    1;   56.75    Mpc ;  -9.19       +9.19    ;T-F     ;2020ApJ...902..145K
18 ;2MASX J20303621+5518581            ;G  ;2832        ;0.009493    ;2845.93     ;    1;   53.46    Mpc ;                       ;        ;2016AJ....152...50T
19 ;2MASX J04075531+4549400            ;G  ;4471        ;0.015027    ;4504.84     ;    1;   50.12    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
20 ;UGC 11510                          ;G  ;3919        ;0.013159    ;3944.95     ;    1;   55.46    Mpc ;  -4.49       +4.49    ;T-F     ;2020ApJ...902..145K
21 ;2MASX J22340404+6826298            ;G  ;4354        ;0.014630    ;4386.08     ;    1;   56.49    Mpc ;  -5.08       +5.08    ;T-F     ;2020ApJ...902..145K
22 ;2MASX J23202069+6830101            ;G  ;3465        ;0.011626    ;3485.26     ;    1;   54.45    Mpc ;  -5.64       +5.64    ;T-F     ;2020ApJ...902..145K
23 ;2MASX J02334600+6405011            ;G  ;4198        ;0.014102    ;4227.81     ;    1;   52.48    Mpc ;  -6.85       +6.85    ;T-F     ;2020ApJ...902..145K
24 ;UGC 11422                          ;G  ;4655        ;0.015650    ;4691.71     ;    1;   58.08    Mpc ;  -6.27       +6.27    ;T-F     ;2020ApJ...902..145K
25 ;UGC 11603                          ;G  ;5189        ;0.017461    ;5234.69     ;    1;   67.92    Mpc ;  -4.58       +4.58    ;T-F     ;2020ApJ...902..145K
26 ;2MFGC 16982                        ;G  ;2600        ;0.008711    ;2611.37     ;    1;   54.95    Mpc ;  -5.19       +5.19    ;T-F     ;2020ApJ...902..145K
27 ;UGC 11918                          ;G  ;4067        ;0.0137      ;4095        ;    1;   61.09    Mpc ;  -4.95       +4.95    ;T-F     ;2020ApJ...902..145K
28 ;UGC 12504                          ;G  ;2438        ;0.008166    ;2447.99     ;    1;   39.81    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
29 ;NGC 6702                           ;G  ;4758        ;0.015998    ;4796.08     ;    1;   52.00    Mpc ;                       ;        ;2016AJ....152...50T
30 ;2MFGC 15839                        ;G  ;3839        ;0.0129      ;3864        ;    1;   51.52    Mpc ;  -5.80       +5.80    ;T-F     ;2020ApJ...902..145K
31 ;UGC 12905                          ;G  ;4098        ;0.013764    ;4126.40     ;    1;   59.98    Mpc ;  -8.64       +8.64    ;T-F     ;2020ApJ...902..145K
32 ;2MASX J05035410+5519138            ;G  ;4378        ;0.014712    ;4410.44     ;    1;   57.02    Mpc ;  -8.72       +8.72    ;T-F     ;2020ApJ...902..145K
33 ;UGC 11248                          ;G  ;4839        ;0.016274    ;4878.69     ;    1;   54.45    Mpc ; -10.29      +10.29    ;T-F     ;2020ApJ...902..145K
34 ;NGC 6701                           ;G  ;3934        ;0.013209    ;3959.96     ;    1;   56.20    Mpc ;                       ;redshift;2010ApJ...725.2270P
35 ;2MASX J19164988+7030313            ;G  ;5523        ;0.018596    ;5574.82     ;    1;   59.43    Mpc ;  -9.63       +9.63    ;T-F     ;2020ApJ...902..145K
36 ;UGC 11427                          ;G  ;4022        ;0.0135      ;4049        ;    1;   52.97    Mpc ;  -5.24       +5.24    ;T-F     ;2020ApJ...902..145K
37 ;UGC 11635                          ;G  ;4801        ;0.016145    ;4840.07     ;    1;   55.98    Mpc ;  -3.78       +3.78    ;T-F     ;2020ApJ...902..145K
38 ;UGC 2906                           ;G  ;2492        ;0.008347    ;2502.44     ;    1;   55.21    Mpc ;  -5.96       +5.96    ;T-F     ;2020ApJ...902..145K
39 ;UGC 3235                           ;G  ;3960        ;0.013298    ;3986.50     ;    1;   58.88    Mpc ;  -9.54       +9.54    ;T-F     ;2020ApJ...902..145K
40 ;LEDA 90720                         ;G  ;5085        ;0.017108    ;5128.87     ;    1;   59.98    Mpc ;                       ;        ;2016AJ....152...50T
41 ;UGC 3204                           ;G  ;4011        ;0.013470    ;4038.19     ;    1;   52.00    Mpc ;  -7.25       +7.25    ;T-F     ;2020ApJ...902..145K
42 ;UGC 3101                           ;G  ;4279        ;0.014377    ;4309.98     ;    1;   55.98    Mpc ; -11.34      +11.34    ;T-F     ;2020ApJ...902..145K
43 ;UGC 3259                           ;G  ;4898        ;0.016475    ;4939.08     ;    1;   55.46    Mpc ;                       ;        ;2016AJ....152...50T
44 ;UGC 11182                          ;G  ;4266        ;0.014333    ;4296.79     ;    1;   61.94    Mpc ;  -9.48       +9.48    ;T-F     ;2020ApJ...902..145K
45 ;UGC 3253                           ;G  ;4101.5      ;0.013776    ;4129.94     ;    1;   58.08    Mpc ;  -5.75       +5.75    ;T-F     ;2020ApJ...902..145K
46 ;UGC 3354                           ;G  ;3088        ;0.010354    ;3104.07     ;    1;   37.84    Mpc ;  -2.38       +2.38    ;T-F     ;2020ApJ...902..145K
47 ;UGC 3415                           ;G  ;3907        ;0.013118    ;3932.79     ;    1;   54.70    Mpc ;  -9.35       +9.35    ;T-F     ;2020ApJ...902..145K
48 ;UGC 3416                           ;G  ;4003        ;0.013443    ;4030.09     ;    1;   52.97    Mpc ;  -6.20       +6.20    ;T-F     ;2020ApJ...902..145K
49 ;UGC 10854                          ;G  ;2817        ;0.009441    ;2830.36     ;    1;   51.05    Mpc ;  -7.58       +7.58    ;T-F     ;2020ApJ...902..145K
50 ;NGC 6411                           ;G  ;3657        ;0.012275    ;3679.95     ;    1;   55.015   Mpc ;                       ;        ;2019MNRAS.490..718B
51 ;NGC 6373                           ;G  ;3286        ;0.01102     ;3303.7      ;    1;   55.72    Mpc ;  -8.52       +8.52    ;T-F     ;2020ApJ...902..145K
52 ;UGC 3575                           ;G  ;3890        ;0.013061    ;3915.57     ;    1;   63.97    Mpc ;  -8.35       +8.35    ;T-F     ;2020ApJ...902..145K
53 ;NGC 6292                           ;G  ;3414        ;0.011453    ;3433.66     ;    1;   56.49    Mpc ;  -5.85       +5.85    ;T-F     ;2020ApJ...902..145K
54 ;UGC 10212                          ;G  ;3939        ;0.013227    ;3965.22     ;    1;   57.28    Mpc ;  -6.70       +6.70    ;T-F     ;2020ApJ...902..145K
55 ;LEDA 91386                         ;G  ;2186        ;0.007318    ;2194.03     ;    1;   52.72    Mpc ; -12.81      +12.81    ;T-F     ;2020ApJ...902..145K
56 ;UGC 3921                           ;G  ;2486        ;0.008327    ;2496.39     ;    1;   49.20    Mpc ;  -7.97       +7.97    ;T-F     ;2020ApJ...902..145K
57 ;UGC 3764                           ;G  ;4110        ;0.013805    ;4138.56     ;    1;   52.00    Mpc ;  -7.49       +7.49    ;T-F     ;2020ApJ...902..145K
58 ;UGC 3606                           ;G  ;3983        ;0.013375    ;4009.81     ;    1;   62.23    Mpc ; -10.08      +10.08    ;T-F     ;2020ApJ...902..145K
59 ;LEDA 90836                         ;G  ;2240        ;0.007500    ;2248.43     ;    1;   57.28    Mpc ; -13.92      +13.92    ;T-F     ;2020ApJ...902..145K
60 ;UGC 3984                           ;G  ;3882        ;0.013034    ;3907.46     ;    1;   53.95    Mpc ;  -5.34       +5.34    ;T-F     ;2020ApJ...902..145K
61 ;LEDA 91528                         ;G  ;3084        ;0.010341    ;3100.03     ;    1;   59.70    Mpc ; -11.55      +11.55    ;T-F     ;2020ApJ...902..145K
