#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
1  ;UGC 11891                          ;G  ;461         ;0.001538    ;461.08      ;    1;   10.80    Mpc ;                       ;T-F     ;2011ApJS..192....6L
2  ;UGC 11767                          ;G  ;4321        ;0.014519    ;4352.59     ;    1;   11.69    Mpc ;  -3.63       +3.63    ;T-F     ;2020ApJ...902..145K
3  ;UGC 731                            ;G  ;638         ;0.002131    ;638.86      ;    1;   12.50    Mpc ;  -3.75       +3.75    ;T-F     ;2016ApJ...816L..14L
4  ;2MASX J01492892+5533543            ;G  ;655         ;0.002187    ;655.72      ;    1;   11.69    Mpc ;  -2.05       +2.05    ;T-F     ;2020ApJ...902..145K
5  ;Z 257-8                            ;G  ;857         ;0.002862    ;858.01      ;    1;   14.86    Mpc ;                       ;        ;2016AJ....152...50T
6  ;UGC 11515                          ;G  ;3232        ;0.010841    ;3250.05     ;    1;   11.8     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
7  ;UGC 11861                          ;G  ;1479        ;0.004946    ;1482.67     ;    1;   21.38    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
8  ;UGC 2813                           ;G  ;1384        ;0.004627    ;1387.21     ;    1;   12.19    Mpc ;  -2.19       +2.19    ;T-F     ;2020ApJ...902..145K
9  ;UGC 2890                           ;G  ;1164        ;0.003890    ;1166.27     ;    1;   10.33    Mpc ;  -2.23       +2.23    ;T-F     ;2020ApJ...902..145K
10 ;NGC 6689                           ;G  ;489         ;0.001632    ;489.40      ;    1;   12.53    Mpc ;  -1.80       +1.80    ;T-F     ;2020ApJ...902..145K
11 ;2MASX J05374685+5409457            ;G  ;5349        ;0.018004    ;5397.58     ;    1;   14.06    Mpc ;  -4.94       +4.94    ;T-F     ;2020ApJ...902..145K
12 ;UGC 3343                           ;G  ;1086        ;0.003629    ;1087.97     ;    1;   13.80    Mpc ;  -1.80       +1.80    ;T-F     ;2020ApJ...902..145K
13 ;IC 4660                            ;G  ;1247        ;0.0042      ;1250        ;    1;   14.45    Mpc ;  -3.97       +3.97    ;T-F     ;2020ApJ...902..145K
14 ;UGC 5114                           ;G  ;1605        ;0.005367    ;1608.99     ;    1;   14.86    Mpc ;                       ;        ;2016AJ....152...50T
15 ;UGC 3598                           ;G  ;1987        ;0.006651    ;1993.92     ;    1;   13       Mpc ;  -3          +2       ;T-F     ;2008ApJ...676..184T
16 ;UGC 9992                           ;G  ;427         ;0.001424    ;426.90      ;    1;    8.60    Mpc ;                       ;T-F     ;2011ApJS..192....6L
17 ;NGC 5832                           ;G  ;447         ;0.001492    ;447.33      ;    1;   12.76    Mpc ;  -1.90       +1.90    ;T-F     ;2020ApJ...902..145K
18 ;NGC 5949                           ;G  ;425         ;0.001419    ;425.30      ;    1;   13.93    Mpc ;  -2.19       +2.19    ;T-F     ;2020ApJ...902..145K
19 ;NGC 3027                           ;G  ;1059        ;0.003539    ;1060.88     ;    1;   14.19    Mpc ;  -1.02       +1.02    ;T-F     ;2020ApJ...902..145K
20 ;UGC 4998                           ;G  ;627         ;0.002095    ;628.07      ;    1;   10.50    Mpc ;                       ;T-F     ;2011ApJS..192....6L
21 ;NGC 2337                           ;G  ;438         ;0.00146     ;438.0       ;    1;    7.90    Mpc ;                       ;T-F     ;2011ApJS..192....6L
22 ;UGC 3698                           ;G  ;422         ;0.001409    ;422.30      ;    1;   11.27    Mpc ;                       ;T-RDB   ;2017AJ....153....6K
23 ;NGC 2549                           ;G  ;1062        ;0.003549    ;1063.96     ;    1;   12.5314  Mpc ;                       ;redshift;2019A&A...631A..38L
24 ;NGC 2950                           ;G  ;1369        ;0.004576    ;1371.85     ;    1;   15.28    Mpc ;                       ;        ;2016AJ....152...50T
