#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
1  ;Z 257-8                            ;G  ;857        ;0.002862    ;858.01     ;    1;   14.86    Mpc ;                       ;        ;2016AJ....152...50T
2  ;UGC 11545                          ;G  ;2934       ;0.0098      ;2948       ;    1;   17.4     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
3  ;UGC 11861                          ;G  ;1479       ;0.004946    ;1482.67    ;    1;   21.38    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
4  ;LEDA 91755                         ;G  ;1554       ;0.005197    ;1558.05    ;    1;   23.23    Mpc ;  -6.06       +6.06    ;T-F     ;2020ApJ...902..145K
5  ;UGC 2813                           ;G  ;1384       ;0.004627    ;1387.21    ;    1;   12.19    Mpc ;  -2.19       +2.19    ;T-F     ;2020ApJ...902..145K
6  ;NGC 1530                           ;G  ;2450       ;0.008206    ;2460.10    ;    1;   20.51    Mpc ;                       ;        ;2016AJ....152...50T
7  ;UGC 3273                           ;G  ;615        ;0.002055    ;616.07     ;    1;   15       Mpc ;  -3          +3       ;T-F     ;2008ApJ...676..184T
8  ;UGC 3144                           ;G  ;1632       ;0.005457    ;1635.97    ;    1;   19.05    Mpc ;                       ;        ;2016AJ....152...50T
9  ;NGC 6643                           ;G  ;1483       ;0.004959    ;1486.69    ;    1;   18.71    Mpc ;  -2.10       +2.10    ;T-F     ;2020ApJ...902..145K
10 ;UGC 3257                           ;G  ;2193       ;0.007342    ;2201.08    ;    1;   18.45    Mpc ;  -3.99       +3.99    ;T-F     ;2020ApJ...902..145K
11 ;UGC 3453                           ;G  ;1045       ;0.003492    ;1046.83    ;    1;   19.41    Mpc ;  -3.84       +3.84    ;T-F     ;2020ApJ...902..145K
12 ;UGC 3403                           ;G  ;1264       ;0.004225    ;1266.68    ;    1;   17.54    Mpc ;  -1.66       +1.66    ;T-F     ;2020ApJ...902..145K
13 ;UGC 10736                          ;G  ;492        ;0.001642    ;492.40     ;    1;   16.14    Mpc ;  -3.78       +3.78    ;T-F     ;2020ApJ...902..145K
