, distance Q unit
0,27.7
1,28.44
2,29.65
4,26.4241
6,25.5859
7,28.18
8,25.59
9,26.3
10,28.97
11,29.11
12,25.0
13,25.23
14,29.92
15,29.38
16,27.8
17,29.79
21,25.35
22,27.42
23,25.94
25,28.71
26,27.54
28,29.24
29,25.94
30,25.7
31,27.93
33,29.51
34,25.82
35,28.44
36,26.92
38,28.84
39,28.18
42,28.0584
46,25.9
48,29.8
50,28.71
51,28.05
52,29.65
53,27.16
54,27.67
55,27.04
57,26.06
59,29.1
62,26.06
63,25.7
65,29.38
66,29.92
67,25.35
69,27.04
72,29.24
73,28.71
74,29.51
76,29.79
77,25.47
78,25.12
79,28.05
80,28.84
82,25.4683
86,27.54
87,28.71
88,29.65
89,28.05
90,25.94
91,27.29
92,27.54
93,25.59
94,26.79
95,28.71
97,28.18
98,28.05
102,26.79
104,27.8
105,29.38
106,27.04
109,25.23
110,29.51
111,28.05
112,25.47
113,27.67
114,29.24
116,28.71
117,29.24
118,28.31
120,26.92
122,29.65
124,28.97
126,25.94
128,26.06
129,27.42
132,29.11
133,26.06
135,28.18
136,27.04
137,28.18
138,26.3
139,25.94
140,26.92
141,27.67
142,28.97
143,25.59
146,28.84
147,25.47
148,29.65
152,28.84
155,28.58
160,28.44
161,29.65
162,25.0
163,29.38
165,26.55
168,25.17
170,26.06
171,27.42
173,28.05
175,26.0
176,26.79
177,26.85
181,25.35
182,29.24
183,29.51
185,28.07
186,25.82
187,25.82
189,27.93
190,27.67
191,28.44
192,25.7
193,27.29
194,28.6
196,25.47
197,26.42
198,28.71
199,26.18
202,28.71
203,26.55
204,28.31
205,25.94
209,28.84
210,25.94
211,25.94
212,26.9
213,26.0
214,27.6
215,26.28
217,29.38
218,25.13
219,27.42
222,27.8
223,27.16
224,27.42
226,28.31
229,29.65
230,29.51
231,27.04
234,27.8
235,25.94
237,25.2
240,28.97
241,27.04
242,27.42
243,28.3
244,26.34
245,25.0
246,28.58
248,28.58
250,28.05
252,29.38
253,25.0
259,27.42
260,27.67
262,28.31
263,25.23
264,29.24
265,29.51
266,27.04
268,25.59
269,27.16
272,29.24
275,26.3
276,25.35
278,26.3
279,29.38
284,25.22
285,29.1
286,28.26
288,25.3
289,29.38
290,29.38
291,25.23
292,27.04
294,29.38
295,25.59
297,27.29
298,26.59
299,29.98
300,27.2
301,25.52
302,25.47
304,27.67
306,27.5
308,27.23
309,27.67
310,29.03
312,25.29
313,26.2
314,29.24
315,28.35
316,28.41
317,27.81
318,26.92
319,28.4
320,29.79
321,29.69
322,25.56
323,28.39
324,28.44
325,25.47
326,
